contact,month,day_of_week,duration
telephone,may,mon,261
telephone,may,mon,149
telephone,may,mon,226
telephone,may,mon,151
telephone,may,mon,307
telephone,may,mon,198
telephone,may,mon,139
telephone,may,mon,217
telephone,may,mon,380
telephone,may,mon,50
telephone,may,mon,55
telephone,may,mon,222
telephone,may,mon,137
telephone,may,mon,293
telephone,may,mon,146
telephone,may,mon,174
telephone,may,mon,312
telephone,may,mon,440
telephone,may,mon,353
telephone,may,mon,195
telephone,may,mon,38
telephone,may,mon,262
telephone,may,mon,342
telephone,may,mon,181
telephone,may,mon,172
telephone,may,mon,99
telephone,may,mon,93
telephone,may,mon,233
telephone,may,mon,255
telephone,may,mon,362
telephone,may,mon,348
telephone,may,mon,386
telephone,may,mon,73
telephone,may,mon,230
telephone,may,mon,208
telephone,may,mon,336
telephone,may,mon,365
telephone,may,mon,1666
telephone,may,mon,577
telephone,may,mon,137
telephone,may,mon,366
telephone,may,mon,314
telephone,may,mon,160
telephone,may,mon,212
telephone,may,mon,188
telephone,may,mon,22
telephone,may,mon,616
telephone,may,mon,178
telephone,may,mon,355
telephone,may,mon,225
telephone,may,mon,160
telephone,may,mon,266
telephone,may,mon,253
telephone,may,mon,179
telephone,may,mon,269
telephone,may,mon,135
telephone,may,mon,161
telephone,may,mon,787
telephone,may,mon,145
telephone,may,mon,174
telephone,may,mon,449
telephone,may,mon,812
telephone,may,mon,164
telephone,may,mon,366
telephone,may,mon,357
telephone,may,mon,232
telephone,may,mon,91
telephone,may,mon,273
telephone,may,mon,158
telephone,may,mon,177
telephone,may,mon,200
telephone,may,mon,172
telephone,may,mon,176
telephone,may,mon,211
telephone,may,mon,214
telephone,may,mon,1575
telephone,may,mon,349
telephone,may,mon,337
telephone,may,mon,272
telephone,may,mon,208
telephone,may,mon,193
telephone,may,mon,212
telephone,may,mon,165
telephone,may,mon,1042
telephone,may,mon,20
telephone,may,mon,246
telephone,may,mon,529
telephone,may,mon,192
telephone,may,mon,1467
telephone,may,mon,188
telephone,may,mon,180
telephone,may,mon,48
telephone,may,mon,213
telephone,may,mon,545
telephone,may,mon,583
telephone,may,mon,221
telephone,may,mon,426
telephone,may,mon,287
telephone,may,mon,197
telephone,may,mon,257
telephone,may,mon,229
telephone,may,mon,55
telephone,may,mon,400
telephone,may,mon,197
telephone,may,mon,190
telephone,may,mon,21
telephone,may,mon,300
telephone,may,mon,123
telephone,may,mon,293
telephone,may,mon,325
telephone,may,mon,514
telephone,may,mon,849
telephone,may,mon,194
telephone,may,mon,212
telephone,may,mon,337
telephone,may,mon,286
telephone,may,mon,247
telephone,may,mon,518
telephone,may,mon,364
telephone,may,mon,178
telephone,may,mon,98
telephone,may,mon,439
telephone,may,mon,139
telephone,may,mon,79
telephone,may,mon,175
telephone,may,mon,262
telephone,may,mon,61
telephone,may,mon,78
telephone,may,mon,102
telephone,may,mon,579
telephone,may,mon,143
telephone,may,mon,677
