campaign,euribor3m
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
2,4.857
2,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
3,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
2,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
2,4.857
2,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
2,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
2,4.857
2,4.857
2,4.857
1,4.857
3,4.857
1,4.857
1,4.857
1,4.857
2,4.857
2,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
3,4.857
2,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
3,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
2,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
2,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
3,4.857
2,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
2,4.857
3,4.857
1,4.857
2,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
2,4.857
3,4.857
2,4.857
1,4.857
1,4.857
2,4.857
1,4.857
2,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
3,4.857
2,4.857
3,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
3,4.857
2,4.857
1,4.857
2,4.857
2,4.857
2,4.857
3,4.857
1,4.857
2,4.857
1,4.857
2,4.857
2,4.857
1,4.857
1,4.857
2,4.857
4,4.857
3,4.857
2,4.857
3,4.857
3,4.857
2,4.857
2,4.857
2,4.857
3,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
3,4.857
4,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
3,4.857
2,4.857
3,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
3,4.857
2,4.857
2,4.857
3,4.857
2,4.857
4,4.857
3,4.857
3,4.857
2,4.857
3,4.857
2,4.857
2,4.857
5,4.857
5,4.857
3,4.857
4,4.857
2,4.857
3,4.857
2,4.857
2,4.857
3,4.857
3,4.857
3,4.857
2,4.857
2,4.857
2,4.857
2,4.857
4,4.857
3,4.857
2,4.857
3,4.857
2,4.857
2,4.857
3,4.857
2,4.857
4,4.857
2,4.857
2,4.857
3,4.857
2,4.857
3,4.857
2,4.857
3,4.857
3,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
4,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
3,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
3,4.857
1,4.857
2,4.857
1,4.857
1,4.857
3,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
2,4.857
1,4.857
1,4.857
4,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
3,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
3,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
2,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
2,4.857
2,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
2,4.857
2,4.857
2,4.857
1,4.857
1,4.857
2,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
3,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
3,4.857
2,4.857
2,4.857
2,4.857
2,4.857
4,4.857
2,4.857
3,4.857
4,4.857
2,4.857
2,4.857
3,4.857
1,4.857
2,4.857
1,4.857
2,4.857
1,4.857
2,4.857
2,4.857
2,4.857
1,4.857
5,4.857
3,4.857
2,4.857
1,4.857
2,4.857
2,4.857
4,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
5,4.857
1,4.857
2,4.857
1,4.857
1,4.857
3,4.857
1,4.857
2,4.857
4,4.857
2,4.857
2,4.857
3,4.857
1,4.857
4,4.857
3,4.857
2,4.857
2,4.857
1,4.857
1,4.857
1,4.857
2,4.857
2,4.857
2,4.857
1,4.857
2,4.857
1,4.857
3,4.857
2,4.857
2,4.857
2,4.857
3,4.857
5,4.857
2,4.857
3,4.857
2,4.857
1,4.857
2,4.857
3,4.857
1,4.857
1,4.857
2,4.857
1,4.857
1,4.857
1,4.857
1,4.857
2,4.857
2,4.857
2,4.857
4,4.857
2,4.857
2,4.857
3,4.857
2,4.857
3,4.857
1,4.857
3,4.857
2,4.857
2,4.857
3,4.857
2,4.857
1,4.857
3,4.857
1,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
2,4.857
3,4.857
2,4.857
2,4.857
2,4.857
2,4.857
3,4.857
2,4.857
2,4.857
2,4.857
3,4.857
2,4.857
3,4.857
2,4.857
2,4.857
2,4.857
6,4.857
3,4.857
2,4.857
3,4.857
2,4.857
2,4.857
2,4.857
2,4.857
3,4.857
3,4.857
3,4.857
2,4.857
4,4.857
2,4.857
2,4.857
2,4.857
2,4.857
3,4.857
5,4.857
2,4.857
2,4.857
2,4.857
3,4.857
5,4.857
3,4.857
2,4.857
2,4.857
2,4.857
3,4.857
4,4.857
2,4.857
2,4.857
4,4.857
2,4.857
3,4.857
2,4.857
2,4.857
3,4.857
2,4.857
4,4.857
3,4.857
3,4.857
2,4.857
2,4.857
3,4.857
3,4.857
2,4.857
2,4.857
5,4.857
2,4.857
3,4.857
2,4.857
2,4.857
2,4.857
3,4.857
3,4.857
2,4.857
3,4.857
3,4.857
3,4.857
3,4.857
2,4.857
3,4.856
3,4.856
3,4.856
3,4.856
3,4.856
4,4.856
2,4.856
3,4.856
2,4.856
3,4.856
2,4.856
2,4.856
2,4.856
3,4.856
2,4.856
2,4.856
2,4.856
2,4.856
2,4.856
2,4.856
2,4.856
3,4.856
2,4.856
2,4.856
3,4.856
1,4.856
1,4.856
3,4.856
3,4.856
1,4.856
6,4.856
2,4.856
4,4.856
1,4.856
1,4.856
1,4.856
1,4.856
3,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
3,4.856
2,4.856
1,4.856
2,4.856
2,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
2,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
2,4.856
1,4.856
6,4.856
1,4.856
1,4.856
1,4.856
3,4.856
2,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
4,4.856
2,4.856
1,4.856
1,4.856
1,4.856
2,4.856
1,4.856
1,4.856
1,4.856
1,4.856
3,4.856
1,4.856
1,4.856
1,4.856
2,4.856
1,4.856
2,4.856
2,4.856
1,4.856
1,4.856
1,4.856
1,4.856
2,4.856
1,4.856
1,4.856
2,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
2,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
2,4.856
1,4.856
1,4.856
2,4.856
2,4.856
1,4.856
2,4.856
1,4.856
1,4.856
7,4.856
1,4.856
1,4.856
6,4.856
1,4.856
2,4.856
1,4.856
1,4.856
1,4.856
1,4.856
2,4.856
1,4.856
2,4.856
2,4.856
1,4.856
2,4.856
2,4.856
1,4.856
1,4.856
1,4.856
1,4.856
1,4.856
