pdays,previous,poutcome
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
999,0,nonexistent
