id,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
1,telephone,may,mon,261,1,999,0,nonexistent,no
2,telephone,may,mon,149,1,999,0,nonexistent,no
3,telephone,may,mon,226,1,999,0,nonexistent,no
4,telephone,may,mon,151,1,999,0,nonexistent,no
5,telephone,may,mon,307,1,999,0,nonexistent,no
6,telephone,may,mon,198,1,999,0,nonexistent,no
7,telephone,may,mon,139,1,999,0,nonexistent,no
8,telephone,may,mon,217,1,999,0,nonexistent,no
9,telephone,may,mon,380,1,999,0,nonexistent,no
10,telephone,may,mon,50,1,999,0,nonexistent,no
11,telephone,may,mon,55,1,999,0,nonexistent,no
12,telephone,may,mon,222,1,999,0,nonexistent,no
13,telephone,may,mon,137,1,999,0,nonexistent,no
14,telephone,may,mon,293,1,999,0,nonexistent,no
15,telephone,may,mon,146,1,999,0,nonexistent,no
16,telephone,may,mon,174,1,999,0,nonexistent,no
17,telephone,may,mon,312,1,999,0,nonexistent,no
18,telephone,may,mon,440,1,999,0,nonexistent,no
19,telephone,may,mon,353,1,999,0,nonexistent,no
20,telephone,may,mon,195,1,999,0,nonexistent,no
21,telephone,may,mon,38,1,999,0,nonexistent,no
22,telephone,may,mon,262,1,999,0,nonexistent,no
23,telephone,may,mon,342,1,999,0,nonexistent,no
24,telephone,may,mon,181,1,999,0,nonexistent,no
25,telephone,may,mon,172,1,999,0,nonexistent,no
26,telephone,may,mon,99,1,999,0,nonexistent,no
27,telephone,may,mon,93,1,999,0,nonexistent,no
28,telephone,may,mon,233,1,999,0,nonexistent,no
29,telephone,may,mon,255,2,999,0,nonexistent,no
30,telephone,may,mon,362,1,999,0,nonexistent,no
31,telephone,may,mon,348,1,999,0,nonexistent,no
32,telephone,may,mon,386,1,999,0,nonexistent,no
33,telephone,may,mon,73,1,999,0,nonexistent,no
34,telephone,may,mon,230,1,999,0,nonexistent,no
35,telephone,may,mon,208,1,999,0,nonexistent,no
36,telephone,may,mon,336,1,999,0,nonexistent,no
37,telephone,may,mon,365,1,999,0,nonexistent,no
38,telephone,may,mon,1666,1,999,0,nonexistent,no
39,telephone,may,mon,577,1,999,0,nonexistent,no
40,telephone,may,mon,137,1,999,0,nonexistent,no
41,telephone,may,mon,366,1,999,0,nonexistent,no
42,telephone,may,mon,314,1,999,0,nonexistent,no
43,telephone,may,mon,160,1,999,0,nonexistent,no
44,telephone,may,mon,212,1,999,0,nonexistent,no
45,telephone,may,mon,188,1,999,0,nonexistent,no
46,telephone,may,mon,22,1,999,0,nonexistent,no
47,telephone,may,mon,616,1,999,0,nonexistent,no
48,telephone,may,mon,178,1,999,0,nonexistent,no
49,telephone,may,mon,355,1,999,0,nonexistent,no
50,telephone,may,mon,225,2,999,0,nonexistent,no
51,telephone,may,mon,160,1,999,0,nonexistent,no
52,telephone,may,mon,266,1,999,0,nonexistent,no
53,telephone,may,mon,253,1,999,0,nonexistent,no
54,telephone,may,mon,179,1,999,0,nonexistent,no
55,telephone,may,mon,269,2,999,0,nonexistent,no
56,telephone,may,mon,135,1,999,0,nonexistent,no
57,telephone,may,mon,161,1,999,0,nonexistent,no
58,telephone,may,mon,787,1,999,0,nonexistent,no
59,telephone,may,mon,145,1,999,0,nonexistent,no
60,telephone,may,mon,174,1,999,0,nonexistent,no
61,telephone,may,mon,449,1,999,0,nonexistent,no
62,telephone,may,mon,812,1,999,0,nonexistent,no
63,telephone,may,mon,164,1,999,0,nonexistent,no
64,telephone,may,mon,366,1,999,0,nonexistent,no
65,telephone,may,mon,357,1,999,0,nonexistent,no
66,telephone,may,mon,232,1,999,0,nonexistent,no
67,telephone,may,mon,91,1,999,0,nonexistent,no
68,telephone,may,mon,273,1,999,0,nonexistent,no
69,telephone,may,mon,158,2,999,0,nonexistent,no
70,telephone,may,mon,177,1,999,0,nonexistent,no
71,telephone,may,mon,200,1,999,0,nonexistent,no
72,telephone,may,mon,172,1,999,0,nonexistent,no
73,telephone,may,mon,176,1,999,0,nonexistent,no
74,telephone,may,mon,211,1,999,0,nonexistent,no
75,telephone,may,mon,214,1,999,0,nonexistent,no
76,telephone,may,mon,1575,1,999,0,nonexistent,yes
77,telephone,may,mon,349,1,999,0,nonexistent,no
78,telephone,may,mon,337,2,999,0,nonexistent,no
79,telephone,may,mon,272,1,999,0,nonexistent,no
80,telephone,may,mon,208,1,999,0,nonexistent,no
81,telephone,may,mon,193,1,999,0,nonexistent,no
82,telephone,may,mon,212,1,999,0,nonexistent,no
83,telephone,may,mon,165,2,999,0,nonexistent,no
84,telephone,may,mon,1042,1,999,0,nonexistent,yes
85,telephone,may,mon,20,1,999,0,nonexistent,no
86,telephone,may,mon,246,1,999,0,nonexistent,no
87,telephone,may,mon,529,2,999,0,nonexistent,no
88,telephone,may,mon,192,1,999,0,nonexistent,no
89,telephone,may,mon,1467,1,999,0,nonexistent,yes
90,telephone,may,mon,188,2,999,0,nonexistent,no
91,telephone,may,mon,180,2,999,0,nonexistent,no
92,telephone,may,mon,48,1,999,0,nonexistent,no
93,telephone,may,mon,213,2,999,0,nonexistent,no
94,telephone,may,mon,545,1,999,0,nonexistent,no
95,telephone,may,mon,583,1,999,0,nonexistent,no
96,telephone,may,mon,221,1,999,0,nonexistent,no
97,telephone,may,mon,426,1,999,0,nonexistent,no
98,telephone,may,mon,287,1,999,0,nonexistent,no
99,telephone,may,mon,197,1,999,0,nonexistent,no
100,telephone,may,mon,257,1,999,0,nonexistent,no
101,telephone,may,mon,229,1,999,0,nonexistent,no
102,telephone,may,mon,55,3,999,0,nonexistent,no
103,telephone,may,mon,400,1,999,0,nonexistent,no
104,telephone,may,mon,197,1,999,0,nonexistent,no
105,telephone,may,mon,190,1,999,0,nonexistent,no
106,telephone,may,mon,21,1,999,0,nonexistent,no
107,telephone,may,mon,300,2,999,0,nonexistent,no
108,telephone,may,mon,123,2,999,0,nonexistent,no
109,telephone,may,mon,293,1,999,0,nonexistent,no
110,telephone,may,mon,325,1,999,0,nonexistent,no
111,telephone,may,mon,514,1,999,0,nonexistent,no
112,telephone,may,mon,849,2,999,0,nonexistent,no
113,telephone,may,mon,194,1,999,0,nonexistent,no
114,telephone,may,mon,212,2,999,0,nonexistent,no
115,telephone,may,mon,337,2,999,0,nonexistent,no
116,telephone,may,mon,286,1,999,0,nonexistent,no
117,telephone,may,mon,247,2,999,0,nonexistent,no
118,telephone,may,mon,518,1,999,0,nonexistent,no
119,telephone,may,mon,364,1,999,0,nonexistent,no
120,telephone,may,mon,178,1,999,0,nonexistent,no
121,telephone,may,mon,98,1,999,0,nonexistent,no
122,telephone,may,mon,439,1,999,0,nonexistent,no
123,telephone,may,mon,139,1,999,0,nonexistent,no
124,telephone,may,mon,79,1,999,0,nonexistent,no
125,telephone,may,mon,175,1,999,0,nonexistent,no
126,telephone,may,mon,262,2,999,0,nonexistent,no
127,telephone,may,mon,61,1,999,0,nonexistent,no
128,telephone,may,mon,78,1,999,0,nonexistent,no
129,telephone,may,mon,102,2,999,0,nonexistent,no
130,telephone,may,mon,579,1,999,0,nonexistent,yes
131,telephone,may,mon,143,1,999,0,nonexistent,no
132,telephone,may,mon,677,1,999,0,nonexistent,no
133,telephone,may,mon,267,1,999,0,nonexistent,no
134,telephone,may,mon,345,1,999,0,nonexistent,no
135,telephone,may,mon,185,1,999,0,nonexistent,no
136,telephone,may,mon,207,1,999,0,nonexistent,no
