id,housing,loan,default
1,no,no,no
2,no,no,
3,yes,no,no
4,no,no,no
5,no,yes,no
6,no,no,
7,no,no,no
8,no,no,
9,yes,no,no
10,yes,no,no
11,no,no,
12,yes,no,no
13,no,yes,no
14,yes,no,no
15,yes,no,no
16,yes,yes,
17,yes,no,no
18,yes,yes,
19,yes,yes,no
20,no,no,
21,no,no,no
22,yes,no,
23,yes,no,no
24,yes,no,no
25,yes,no,no
26,no,yes,no
27,yes,no,no
28,no,no,
29,no,no,
30,,,
31,no,no,no
32,yes,no,no
33,no,no,no
34,yes,no,
35,no,no,no
36,yes,no,
37,no,no,no
38,yes,no,no
39,yes,no,no
40,yes,no,no
41,yes,no,no
42,yes,no,no
43,no,no,no
44,no,yes,no
45,yes,no,
46,no,no,
47,yes,yes,no
48,no,yes,no
49,yes,no,no
50,yes,no,no
51,no,no,no
52,no,yes,no
53,no,no,no
54,no,no,no
55,no,no,
56,yes,no,
57,no,yes,
58,yes,no,
59,yes,yes,
60,yes,no,no
61,no,no,
62,yes,no,no
63,yes,no,
64,no,no,
65,no,no,no
66,no,no,no
67,yes,no,no
68,yes,no,no
69,yes,no,no
70,yes,yes,
71,no,no,no
72,yes,no,no
73,yes,no,
74,no,no,
75,yes,no,
76,yes,no,
77,no,no,no
78,yes,no,
79,yes,no,
80,no,no,
81,yes,no,
82,,,
83,no,no,
84,yes,no,
85,no,yes,no
86,no,no,no
87,no,no,no
88,yes,yes,no
89,no,no,no
90,yes,no,no
91,yes,no,no
92,yes,no,
93,no,yes,
94,no,no,no
95,no,yes,no
96,yes,no,no
97,no,no,no
98,no,no,
99,no,no,no
100,no,no,no
101,yes,no,no
102,no,no,no
103,no,no,no
104,no,no,no
105,no,no,no
106,no,no,
107,yes,no,no
108,yes,no,no
109,yes,no,
110,yes,yes,
111,no,no,
112,no,no,
113,yes,no,no
114,yes,no,
115,no,no,no
116,no,no,no
117,no,no,no
118,yes,no,
119,yes,no,no
120,yes,no,
121,yes,no,
122,no,no,no
123,no,no,no
124,yes,no,no
125,yes,yes,no
126,no,yes,no
127,no,no,no
128,yes,yes,no
129,yes,no,no
130,yes,no,
131,yes,yes,no
132,no,no,
133,yes,no,no
134,yes,no,no
135,no,no,no
136,no,no,no
137,no,no,
138,no,no,
139,yes,no,no
140,yes,no,
141,yes,no,no
142,yes,no,no
143,yes,no,no
144,yes,no,no
145,yes,no,
146,yes,no,
147,no,no,
148,yes,no,no
149,yes,no,
150,yes,no,no
151,no,no,
152,yes,no,
153,yes,no,
154,no,no,
155,yes,yes,no
156,yes,yes,no
157,yes,no,
158,no,no,
159,yes,no,no
160,no,no,no
161,yes,no,no
162,yes,yes,
163,no,no,
164,no,no,
165,no,no,
166,no,no,no
167,yes,yes,no
168,no,no,
169,no,no,no
170,yes,no,no
171,no,yes,
172,no,no,
173,yes,yes,no
174,no,no,
175,no,no,no
176,no,no,no
177,yes,yes,no
178,no,no,no
179,yes,no,no
180,no,no,no
181,no,no,no
182,yes,no,
183,yes,yes,no
184,yes,no,no
185,no,no,
186,no,no,no
187,no,no,
188,no,no,
189,no,no,
190,yes,no,no
191,no,no,no
192,yes,no,no
193,no,no,no
194,no,no,no
195,yes,no,
196,yes,no,no
197,yes,no,
198,no,no,
199,yes,no,
200,yes,no,no
201,no,no,no
202,no,no,no
203,yes,no,no
204,no,no,no
205,yes,no,no
206,no,no,
207,yes,yes,
208,no,no,no
209,no,no,no
210,yes,no,
211,yes,no,no
212,no,no,no
213,no,no,no
214,no,no,
215,yes,no,
216,yes,no,
217,yes,no,no
218,yes,yes,no
219,no,no,
220,no,no,no
221,yes,no,no
222,no,no,
223,yes,no,
224,yes,no,
225,no,no,no
226,no,no,no
227,no,no,no
228,no,no,no
229,no,no,
230,yes,yes,no
231,yes,no,no
232,yes,no,no
233,yes,no,
234,no,no,
235,no,no,
236,yes,no,no
237,no,no,no
238,no,no,no
239,no,yes,
240,no,yes,
241,no,no,no
242,no,no,no
243,yes,no,no
244,no,no,no
245,no,no,
246,no,no,no
247,no,no,no
248,yes,no,no
249,no,yes,no
250,no,no,no
251,no,no,no
252,yes,no,no
253,yes,no,no
254,yes,no,no
255,no,no,no
256,yes,yes,no
257,yes,no,
258,no,yes,no
259,yes,no,no
260,no,yes,no
261,no,yes,no
262,,,no
263,no,no,no
264,no,no,no
265,no,no,no
266,no,no,no
267,yes,no,no
268,no,no,
269,no,no,no
270,no,no,
271,yes,no,
272,no,no,no
273,no,no,
274,no,no,no
275,yes,yes,
276,no,no,
277,no,no,no
278,no,no,
279,no,no,no
280,no,no,no
281,no,no,no
282,yes,no,no
283,no,no,no
