id,age,age_bin,job,marital,education,education_ord,young_short_call
1,56,50-64,housemaid,married,basic.4y,1.0,0
2,57,50-64,services,married,high.school,4.0,0
3,37,35-49,services,married,high.school,4.0,0
4,40,35-49,admin.,married,basic.6y,2.0,0
5,56,50-64,services,married,high.school,4.0,0
6,45,35-49,services,married,basic.9y,3.0,0
7,59,50-64,admin.,married,professional.course,6.0,0
8,41,35-49,blue-collar,married,,,0
9,24,<25,technician,single,professional.course,6.0,0
10,25,<25,services,single,high.school,4.0,1
11,41,35-49,blue-collar,married,,,0
12,25,<25,services,single,high.school,4.0,0
13,29,25-34,blue-collar,single,high.school,4.0,1
14,57,50-64,housemaid,divorced,basic.4y,1.0,0
15,35,25-34,blue-collar,married,basic.6y,2.0,0
16,54,50-64,retired,married,basic.9y,3.0,0
17,35,25-34,blue-collar,married,basic.6y,2.0,0
18,46,35-49,blue-collar,married,basic.6y,2.0,0
19,50,35-49,blue-collar,married,basic.9y,3.0,0
20,39,35-49,management,single,basic.9y,3.0,0
21,30,25-34,unemployed,married,high.school,4.0,1
22,55,50-64,blue-collar,married,basic.4y,1.0,0
23,55,50-64,retired,single,high.school,4.0,0
24,41,35-49,technician,single,high.school,4.0,0
25,37,35-49,admin.,married,high.school,4.0,0
26,35,25-34,technician,married,university.degree,5.0,0
27,59,50-64,technician,married,,,0
28,39,35-49,self-employed,married,basic.9y,3.0,0
29,54,50-64,technician,single,university.degree,5.0,0
30,55,50-64,,married,university.degree,5.0,0
31,46,35-49,admin.,married,,,0
32,59,50-64,technician,married,,,0
33,49,35-49,blue-collar,married,,,0
34,54,50-64,management,married,basic.4y,1.0,0
35,54,50-64,blue-collar,divorced,basic.4y,1.0,0
36,55,50-64,,married,basic.4y,1.0,0
37,34,25-34,services,married,high.school,4.0,0
38,52,50-64,technician,married,basic.9y,3.0,0
39,41,35-49,admin.,married,university.degree,5.0,0
40,56,50-64,technician,married,basic.4y,1.0,0
41,58,50-64,management,,university.degree,5.0,0
42,32,25-34,entrepreneur,married,high.school,4.0,0
43,38,35-49,admin.,single,professional.course,6.0,0
44,57,50-64,admin.,married,university.degree,5.0,0
45,44,35-49,admin.,married,university.degree,5.0,0
46,42,35-49,technician,single,professional.course,6.0,0
47,57,50-64,admin.,married,university.degree,5.0,0
48,40,35-49,blue-collar,married,basic.9y,3.0,0
49,35,25-34,admin.,married,university.degree,5.0,0
50,45,35-49,blue-collar,married,basic.9y,3.0,0
